date,commodity,region,demand_quantity_kg,modal_price_per_kg,day_of_week,day_of_month,month,year,season,is_weekend,festival_flag,is_synthetic,data_source,day_of_week_num,season_code,demand_lag_1,demand_lag_7,demand_lag_14,demand_rolling_mean_7,demand_rolling_mean_14,demand_rolling_std_7,price_lag_1,price_rolling_mean_7
2024-01-01,Onion,Gaya,3512.3,33.12,Monday,1,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,1,3512.3,3512.3,3512.3,3512.3,3512.3,0.0,33.12,33.12
2024-01-02,Onion,Gaya,4219.7,30.2,Tuesday,2,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,1,3512.3,3512.3,3512.3,3512.3,3512.3,0.0,33.12,33.12
2024-01-03,Onion,Gaya,3725.3,32.46,Wednesday,3,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,1,4219.7,3512.3,3512.3,3866.0,3866.0,500.20733701136345,30.2,31.659999999999997
2024-01-04,Onion,Gaya,4112.1,27.62,Thursday,4,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,1,3725.3,3512.3,3512.3,3819.1,3819.1,362.9084181994127,32.46,31.926666666666666
2024-01-05,Onion,Gaya,4568.7,28.73,Friday,5,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,4,1,4112.1,3512.3,3512.3,3892.3500000000004,3892.3500000000004,330.55094917425356,27.62,30.85
2024-01-06,Onion,Gaya,4733.5,35.2,Saturday,6,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,5,1,4568.7,3512.3,3512.3,4027.62,4027.62,416.45865581111406,28.73,30.426
2024-01-07,Onion,Gaya,4672.8,31.79,Sunday,7,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,6,1,4733.5,3512.3,3512.3,4145.266666666666,4145.266666666666,470.95082404287893,35.2,31.221666666666668
2024-01-08,Onion,Gaya,3851.1,29.64,Monday,8,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,1,4672.8,3512.3,3512.3,4220.628571428571,4220.628571428571,473.90380428340706,31.79,31.302857142857142
2024-01-09,Onion,Gaya,3957.1,31.99,Tuesday,9,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,1,3851.1,4219.7,3512.3,4269.028571428572,4174.4375,401.2341324558756,29.64,30.805714285714284
2024-01-10,Onion,Gaya,3912.4,30.79,Wednesday,10,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,1,3957.1,3725.3,3512.3,4231.5142857142855,4150.288888888888,418.51878662959064,31.99,31.06142857142857
2024-01-11,Onion,Gaya,4112.1,31.21,Thursday,11,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,1,3912.4,4112.1,3512.3,4258.242857142857,4126.5,385.4711310294754,30.79,30.822857142857142
2024-01-12,Onion,Gaya,5026.2,31.08,Friday,12,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,4,1,4112.1,4568.7,3512.3,4258.242857142856,4125.190909090909,385.4711310294754,31.21,31.335714285714285
2024-01-13,Onion,Gaya,5046.2,31.86,Saturday,13,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,5,1,5026.2,4733.5,3512.3,4323.6,4200.275000000001,475.2195282182751,31.08,31.671428571428574
2024-01-14,Onion,Gaya,4825.7,34.25,Sunday,14,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,6,1,5046.2,4672.8,3512.3,4368.271428571428,4265.346153846154,531.5332530026875,31.86,31.194285714285712
2024-01-15,Onion,Gaya,3522.6,34.21,Monday,15,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,1,4825.7,3851.1,3512.3,4390.114285714286,4305.371428571429,548.9883223669133,34.25,31.545714285714286
2024-01-16,Onion,Gaya,4375.1,30.62,Tuesday,16,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,1,3522.6,3957.1,4219.7,4343.185714285714,4306.107142857143,613.0467177101905,34.21,32.198571428571434
2024-01-17,Onion,Gaya,3999.6,33.39,Wednesday,17,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,1,4375.1,3912.4,3725.3,4402.9,4317.207142857143,589.0604722776769,30.62,32.002857142857145
2024-01-18,Onion,Gaya,3963.3,33.17,Thursday,18,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,1,3999.6,4112.1,4112.1,4415.357142857143,4336.8,577.7727086468715,33.39,32.37428571428571
2024-01-19,Onion,Gaya,5016.3,32.78,Friday,19,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,4,1,3963.3,5026.2,4568.7,4394.1,4326.171428571429,593.317722641082,33.17,32.65428571428571
2024-01-20,Onion,Gaya,5136.2,28.23,Saturday,20,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,5,1,5016.3,5046.2,4733.5,4392.685714285714,4358.142857142857,591.5690926921143,32.78,32.89714285714285
2024-01-21,Onion,Gaya,4709.1,36.72,Sunday,21,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,6,1,5136.2,4825.7,4672.8,4405.542857142857,4386.907142857143,608.8649791679128,28.23,32.378571428571426
2024-01-22,Onion,Gaya,3387.4,36.93,Monday,22,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,1,4709.1,3522.6,3851.1,4388.885714285714,4389.5,596.9327249324149,36.72,32.73142857142857
2024-01-23,Onion,Gaya,3683.5,33.13,Tuesday,23,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,1,3387.4,4375.1,3957.1,4369.571428571428,4356.378571428571,630.8570194961923,36.93,33.12
2024-01-24,Onion,Gaya,4440.0,31.25,Wednesday,24,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,1,3683.5,3999.6,3912.4,4270.771428571429,4336.835714285715,681.9355827698237,33.13,33.47857142857143
2024-01-25,Onion,Gaya,4070.3,33.18,Thursday,25,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,1,4440.0,3963.3,4112.1,4333.685714285714,4374.521428571429,673.0049217961965,31.25,33.17285714285715
2024-01-26,Onion,Gaya,4947.1,33.59,Friday,26,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,4,1,4070.3,5016.3,5026.2,4348.971428571429,4371.535714285715,664.3498870180925,33.18,33.174285714285716
2024-01-27,Onion,Gaya,5126.1,30.62,Saturday,27,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,5,1,4947.1,5136.2,5046.2,4339.085714285714,4365.885714285714,653.1858985734751,33.59,33.29
2024-01-28,Onion,Gaya,5551.3,28.2,Sunday,28,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,6,1,5126.1,4709.1,4825.7,4337.642857142858,4371.592857142858,651.1395955224525,30.62,33.63142857142857
2024-01-29,Onion,Gaya,4154.6,30.96,Monday,29,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,1,5551.3,3387.4,3522.6,4457.957142857143,4423.421428571429,793.4682515327734,28.2,32.41428571428572
2024-01-30,Onion,Gaya,4090.1,33.27,Tuesday,30,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,1,4154.6,3683.5,4375.1,4567.557142857143,4468.564285714286,663.2494549743784,30.96,31.56142857142857
2024-01-31,Onion,Gaya,4405.7,33.6,Wednesday,31,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,1,4090.1,4440.0,3999.6,4625.642857142858,4448.207142857143,586.2578609484141,33.27,31.58142857142857
2024-02-01,Onion,Gaya,4634.9,28.1,Thursday,1,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,1,4405.7,4070.3,3963.3,4620.742857142856,4477.214285714285,588.2081826959538,33.6,31.91714285714286
2024-02-02,Onion,Gaya,5897.1,28.05,Friday,2,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,4,1,4634.9,4947.1,5016.3,4701.400000000001,4525.185714285714,536.5953254859138,28.1,31.19142857142857
2024-02-03,Onion,Gaya,5244.6,32.38,Saturday,3,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,5,1,5897.1,5126.1,5136.2,4837.114285714286,4588.1,703.3264638572225,28.05,30.400000000000002
2024-02-04,Onion,Gaya,4616.3,33.37,Sunday,4,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,6,1,5244.6,5551.3,4709.1,4854.042857142857,4595.842857142858,712.8036799782086,32.38,30.65142857142857
2024-02-05,Onion,Gaya,4064.7,28.45,Monday,5,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,1,4616.3,4154.6,3387.4,4720.471428571429,4589.214285714285,644.7220815056304,33.37,31.390000000000004
2024-02-06,Onion,Gaya,4067.3,35.52,Tuesday,6,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,1,1,4064.7,4090.1,3683.5,4707.628571428571,4637.592857142858,658.6185661779405,28.45,31.03142857142857
2024-02-07,Onion,Gaya,4364.8,25.97,Wednesday,7,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,2,1,4067.3,4405.7,4440.0,4704.371428571429,4665.007142857143,662.2279786556031,35.52,31.352857142857143
2024-02-08,Onion,Gaya,4330.7,32.15,Thursday,8,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,3,1,4364.8,4634.9,4070.3,4698.528571428572,4659.635714285714,665.4748347715982,25.97,30.262857142857143
2024-02-09,Onion,Gaya,5714.1,29.51,Friday,9,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,4,1,4330.7,5897.1,4947.1,4655.071428571428,4678.2357142857145,680.0943726530062,32.15,30.841428571428573
2024-02-10,Onion,Gaya,5582.2,29.42,Saturday,10,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,5,1,5714.1,5244.6,5126.1,4628.928571428572,4733.021428571429,625.7385681850575,29.51,31.05
2024-02-11,Onion,Gaya,5123.9,30.99,Sunday,11,2,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1,6,1,5582.2,4616.3,5551.3,4677.157142857142,4765.599999999999,690.7345941270132,29.42,30.62714285714286
2024-02-12,Onion,Gaya,4228.4,29.22,Monday,12,2,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1,0,1,5123.9,4064.7,4154.6,4749.671428571428,4735.071428571428,709.6657680774468,30.99,30.287142857142857
