date,commodity,region,minimum_price,maximum_price,modal_price,market_arrivals_tonnes,market_supply_level,rainfall_mm,temperature_c,humidity_pct,predicted_demand_kg,day_of_week,day_of_month,month,week_of_year,is_weekend,season,season_code,is_festival_season,distance_to_ranchi_km,statewide_avg_modal,price_lag_1,price_lag_2,price_lag_3,price_lag_7,price_lag_14,price_lag_21,price_lag_30,price_rolling_mean_3,price_rolling_mean_7,price_rolling_mean_14,price_rolling_mean_30,price_rolling_std_7,price_rolling_std_14,price_rolling_std_30,price_change_1d,price_change_7d,price_change_14d,neighbor_market_price,neighbor_market_price_change,market_arrivals_lag_1,arrivals_rolling_mean_7,rainfall_rolling_sum_7,temperature_lag_1,predicted_demand_lag_1,commodity_code,region_code
2024-01-31,Green Chilli,Bokaro,40.72,54.44,47.1,105.2,HIGH,0.0,19.9,43.3,100955.0,2,31,1,5,0,Rabi,1,0,119.19,39.18857142857143,30.71,40.88,32.91,34.7,27.18,40.89,46.83,34.833333333333336,35.78142857142857,36.76214285714286,37.81666666666667,3.819910245766818,5.659328824803585,5.801499409833534,-10.170000000000002,-3.990000000000002,3.530000000000001,34.29571428571428,-4.1571428571428655,102.1,105.11428571428571,6.45,16.1,98793.0,0,0
2024-02-01,Green Chilli,Bokaro,41.94,51.23,46.26,87.7,MODERATE,0.2,19.3,41.2,100196.0,3,1,2,5,0,Rabi,1,0,119.19,38.95285714285715,47.1,30.71,40.88,33.71,41.76,40.06,35.78,39.56333333333333,37.55285714285714,38.185,37.82566666666666,5.66458505183953,5.568279322679909,5.81615507745946,16.39,13.39,5.340000000000003,39.18857142857143,4.892857142857146,105.2,101.77142857142857,4.16,19.9,100955.0,0,0
2024-02-02,Green Chilli,Bokaro,37.89,47.16,42.2,100.9,HIGH,0.08,18.0,44.2,96866.0,4,2,2,5,0,Rabi,1,0,119.19,38.0,46.26,47.1,30.71,37.34,45.66,36.44,43.15,41.35666666666667,39.34571428571429,38.50642857142857,38.175,6.205797980230149,5.909920742853766,6.000845773722233,-0.8400000000000034,8.919999999999995,0.6000000000000014,38.95285714285715,-0.23571428571428044,87.7,100.11428571428573,4.36,19.3,100196.0,0,0
2024-02-03,Green Chilli,Bokaro,36.71,46.92,41.46,90.2,HIGH,0.0,17.4,35.6,80549.0,5,3,2,5,1,Rabi,1,0,119.19,41.52571428571429,42.2,46.26,47.1,40.22,35.72,31.49,41.2,45.18666666666667,40.04,38.25928571428572,38.14333333333333,6.215858750003899,5.654588965930803,5.976142991718928,-4.059999999999995,1.980000000000004,6.480000000000004,38.0,-0.9528571428571482,100.9,101.61428571428571,4.44,18.0,96866.0,0,0
2024-02-04,Green Chilli,Bokaro,28.64,37.29,32.66,110.1,HIGH,0.73,13.3,39.7,113965.0,6,4,2,5,1,Rabi,1,0,119.19,37.44142857142857,41.46,42.2,46.26,32.91,33.6,42.72,50.99,43.30666666666667,40.21714285714285,38.669285714285714,38.152,6.239467697076184,5.664396857410485,5.980915279972363,-0.740000000000002,8.550000000000004,7.859999999999999,41.52571428571429,3.5257142857142867,90.2,97.70000000000002,4.44,17.4,80549.0,0,0
2024-02-05,Green Chilli,Bokaro,38.61,46.67,42.36,101.9,HIGH,0.0,16.1,50.8,105398.0,0,5,2,6,0,Rabi,1,0,119.19,38.66285714285714,32.66,41.46,42.2,40.88,46.93,27.16,37.78,38.77333333333333,40.18142857142857,38.60214285714285,37.541000000000004,6.2887848019879256,5.734248228604406,5.54454460055884,-8.800000000000004,-8.220000000000006,-14.270000000000003,37.44142857142857,-4.08428571428572,110.1,100.68571428571428,5.17,13.3,113965.0,0,0
2024-02-06,Green Chilli,Bokaro,41.69,54.38,47.59,101.4,HIGH,2.4,15.8,46.8,105006.0,1,6,2,6,0,Rabi,1,0,119.19,36.85285714285715,42.36,32.66,41.46,30.71,33.35,38.83,33.09,38.82666666666666,40.392857142857146,38.27571428571429,37.693666666666665,6.3408482983633325,5.340248790352108,5.6139717843432635,9.700000000000003,11.649999999999999,9.009999999999998,38.66285714285714,1.221428571428575,101.9,99.72857142857143,5.17,16.1,105398.0,0,0
2024-02-07,Green Chilli,Bokaro,39.37,49.17,43.93,125.7,HIGH,0.19,18.1,44.6,118225.0,2,7,2,6,0,Rabi,1,0,119.19,36.778571428571425,47.59,42.36,32.66,47.1,34.7,27.18,33.14,40.87,42.80428571428571,39.292857142857144,38.17700000000001,5.140920336356319,5.675497170457244,5.824203453011319,5.230000000000004,0.490000000000002,12.89,36.85285714285715,-1.8099999999999952,101.4,99.62857142857142,3.41,15.8,105006.0,0,0
2024-02-08,Green Chilli,Bokaro,32.46,43.79,37.73,123.9,HIGH,0.0,17.4,39.3,133927.0,3,8,2,6,0,Rabi,1,0,119.19,34.84428571428571,43.93,47.59,42.36,46.26,33.71,41.76,40.28,44.626666666666665,42.35142857142858,39.95214285714285,38.53666666666666,4.8296460483539585,5.636897917460294,5.835574216543016,-3.6600000000000037,-2.3299999999999983,10.219999999999999,36.778571428571425,-0.07428571428572184,125.7,102.55714285714286,3.6,18.1,118225.0,0,0
2024-02-09,Green Chilli,Bokaro,37.07,45.09,40.8,103.1,HIGH,0.0,17.8,43.4,91080.0,4,9,2,6,0,Rabi,1,0,119.19,38.385714285714286,37.73,43.93,47.59,42.2,37.34,45.66,40.89,43.083333333333336,41.13285714285714,40.23928571428571,38.45166666666667,4.754631826916136,5.391512509756166,5.827871843982593,-6.200000000000003,-4.470000000000006,0.38999999999999346,34.84428571428571,-1.9342857142857142,123.9,107.72857142857143,3.4,17.4,133927.0,0,0
