date,commodity,region,demand_quantity_kg,modal_price_per_kg,day_of_week,day_of_month,month,year,season,is_weekend,festival_flag,is_synthetic,data_source
2024-01-01,Tomato,Patna,3463.7,42.52,Monday,1,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-02,Tomato,Patna,4162.9,42.99,Tuesday,2,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-03,Tomato,Patna,3930.3,39.74,Wednesday,3,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-04,Tomato,Patna,3930.2,46.18,Thursday,4,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-05,Tomato,Patna,4961.2,38.72,Friday,5,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-06,Tomato,Patna,4730.0,38.66,Saturday,6,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-07,Tomato,Patna,4126.5,41.11,Sunday,7,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-08,Tomato,Patna,3675.0,33.94,Monday,8,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-09,Tomato,Patna,4198.4,36.41,Tuesday,9,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-10,Tomato,Patna,3842.0,36.7,Wednesday,10,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-11,Tomato,Patna,3833.2,45.15,Thursday,11,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-12,Tomato,Patna,4512.2,40.02,Friday,12,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-13,Tomato,Patna,4985.2,37.72,Saturday,13,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-14,Tomato,Patna,4937.7,35.43,Sunday,14,1,2024,Rabi,1,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-15,Tomato,Patna,3694.0,37.31,Monday,15,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
2024-01-16,Tomato,Patna,4566.4,37.2,Tuesday,16,1,2024,Rabi,0,0,True,KisanFlow Realistic Ag-Demand Simulator v1
