date,commodity,region,minimum_price,maximum_price,modal_price,market_arrivals_tonnes,market_supply_level,rainfall_mm,temperature_c,humidity_pct,predicted_demand_kg
2024-01-01,Tomato,Ranchi,13.56,18.34,15.78,143.0,MODERATE,0.0,18.5,49.7,155272.0
2024-01-01,Tomato,Jamshedpur,17.98,22.74,20.19,149.1,HIGH,0.0,18.5,49.7,168189.0
2024-01-01,Tomato,Dhanbad,21.86,27.99,24.71,125.5,HIGH,0.0,18.5,49.7,115231.0
2024-01-01,Tomato,Bokaro,15.54,21.26,18.2,104.0,HIGH,0.0,18.5,49.7,108108.0
2024-01-01,Tomato,Hazaribagh,13.18,18.49,15.65,85.2,HIGH,0.0,18.5,49.7,95248.0
2024-01-01,Tomato,Deoghar,16.89,21.71,19.13,70.8,HIGH,0.0,18.5,49.7,61110.0
2024-01-01,Tomato,Dumka,16.55,22.33,19.24,65.3,HIGH,0.0,18.5,49.7,74459.0
2024-01-01,Potato,Ranchi,19.55,25.16,22.16,119.1,LOW,0.0,18.5,49.7,108005.0
2024-01-01,Potato,Jamshedpur,22.84,28.19,25.33,100.2,LOW,0.0,18.5,49.7,105305.0
2024-01-01,Potato,Dhanbad,22.22,30.43,26.04,92.2,MODERATE,0.0,18.5,49.7,100630.0
2024-01-01,Potato,Bokaro,21.44,28.62,24.78,68.6,LOW,0.0,18.5,49.7,61186.0
2024-01-01,Potato,Hazaribagh,18.27,24.82,21.32,64.1,MODERATE,0.0,18.5,49.7,67270.0
2024-01-01,Potato,Deoghar,20.76,26.65,23.5,41.9,LOW,0.0,18.5,49.7,42764.0
2024-01-01,Potato,Dumka,20.35,27.08,23.48,40.9,LOW,0.0,18.5,49.7,40545.0
2024-01-01,Onion,Ranchi,29.8,39.44,34.28,92.2,LOW,0.0,18.5,49.7,93682.0
2024-01-01,Onion,Jamshedpur,36.85,43.97,40.16,100.3,LOW,0.0,18.5,49.7,98396.0
2024-01-01,Onion,Dhanbad,31.53,43.33,37.02,84.9,LOW,0.0,18.5,49.7,78123.0
2024-01-01,Onion,Bokaro,33.84,42.24,37.75,54.8,LOW,0.0,18.5,49.7,57462.0
2024-01-01,Onion,Hazaribagh,29.17,38.8,33.65,51.1,LOW,0.0,18.5,49.7,49665.0
2024-01-01,Onion,Deoghar,31.49,37.53,34.3,48.7,LOW,0.0,18.5,49.7,42711.0
2024-01-01,Onion,Dumka,31.78,38.77,35.03,33.0,LOW,0.0,18.5,49.7,33010.0
